rbd;ano_escolar;cod_ens;cod_gra;tipo_jornada;cod_esp;cod_men;id_sede_anexo;tipo_alumnado;total_cupos;cantidad_cursos;cupos_admision_especial_nee;numero_cuotas;valor_cuota;cobro_mensual
1;2023;310;1;1;0;0;1;3;185;5;0;0;0;0
4;2023;310;1;3;0;0;4;3;385;11;0;0;0;0
8;2023;310;1;3;0;0;8;3;200;5;0;0;0;0
97;2023;310;1;3;0;0;97;3;200;5;0;0;0;0
97;2023;310;2;3;0;0;97;3;160;4;0;0;0;0
97;2023;410;3;3;41002;0;97;3;40;1;0;0;0;0
97;2023;410;3;3;41005;0;97;3;80;2;0;0;0;0
97;2023;510;3;3;58034;0;97;3;40;1;0;0;0;0
97;2023;810;3;3;81004;0;97;3;40;1;0;0;0;0
97;2023;410;4;3;41002;0;97;3;40;1;0;0;0;0
97;2023;410;4;3;41005;0;97;3;80;2;0;0;0;0
97;2023;510;4;3;58034;0;97;3;40;1;0;0;0;0
97;2023;810;4;3;81004;0;97;3;40;1;0;0;0;0
106;2023;310;1;3;0;0;106;3;190;5;0;0;0;0
107;2023;110;7;3;0;0;107;3;40;1;0;0;0;0
107;2023;110;8;3;0;0;107;3;80;2;0;0;0;0
107;2023;310;1;3;0;0;107;3;180;5;0;0;0;0
107;2023;310;2;3;0;0;107;3;180;5;0;0;0;0
107;2023;310;3;3;0;0;107;3;160;4;0;0;0;0
107;2023;310;4;3;0;0;107;3;120;3;0;0;0;0
108;2023;310;1;3;0;0;108;3;240;6;0;0;0;0
108;2023;310;2;3;0;0;108;3;200;5;0;0;0;0
108;2023;510;3;3;52009;0;108;3;40;1;0;0;0;0
108;2023;510;3;3;52010;0;108;3;40;1;0;0;0;0
108;2023;510;3;3;52013;0;108;3;40;1;0;0;0;0
108;2023;510;3;3;53014;0;108;3;40;1;0;0;0;0
108;2023;510;4;3;52009;0;108;3;40;1;0;0;0;0
108;2023;510;4;3;52010;0;108;3;40;1;0;0;0;0
108;2023;510;4;3;52013;0;108;3;40;1;0;0;0;0
108;2023;510;4;3;53014;0;108;3;40;1;0;0;0;0
109;2023;110;1;3;0;0;109;3;40;1;0;0;0;0
109;2023;110;2;3;0;0;109;3;40;1;0;0;0;0
109;2023;110;3;3;0;0;109;3;40;1;0;0;0;0
109;2023;110;4;3;0;0;109;3;40;1;0;0;0;0
109;2023;110;5;3;0;0;109;3;80;2;0;0;0;0
109;2023;110;6;3;0;0;109;3;80;2;0;0;0;0
109;2023;110;7;3;0;0;109;3;80;2;0;0;0;0
109;2023;110;8;3;0;0;109;3;80;2;0;0;0;0
109;2023;310;1;3;0;0;109;3;120;3;0;0;0;0
109;2023;310;2;3;0;0;109;3;120;3;0;0;0;0
109;2023;410;3;3;41005;0;109;3;40;1;0;0;0;0
109;2023;610;3;3;63011;0;109;3;40;1;0;0;0;0
109;2023;610;3;3;64001;0;109;3;40;1;0;0;0;0
109;2023;610;3;3;64008;0;109;3;40;1;0;0;0;0
109;2023;410;4;3;41005;0;109;3;40;1;0;0;0;0
109;2023;610;4;3;63011;0;109;3;40;1;0;0;0;0
109;2023;610;4;3;64001;0;109;3;40;1;0;0;0;0
109;2023;610;4;3;64008;0;109;3;40;1;0;0;0;0
125;2023;110;4;3;0;0;125;3;80;2;0;0;0;0
239;2023;110;2;3;0;0;239;3;89;2;0;0;0;0
239;2023;110;3;3;0;0;239;3;90;2;0;0;0;0
280;2023;310;1;3;0;0;280;3;324;9;0;0;0;0
288;2023;110;1;2;0;0;288;3;114;3;0;0;0;0
288;2023;110;2;1;0;0;288;3;114;3;0;0;0;0
288;2023;110;3;3;0;0;288;3;114;3;0;0;0;0
289;2023;110;1;3;0;0;289;3;76;2;0;0;0;0
289;2023;110;2;3;0;0;289;3;76;2;0;0;0;0
289;2023;110;3;3;0;0;289;3;76;2;0;0;0;0
291;2023;10;5;1;0;0;291;3;32;1;0;0;0;0
291;2023;10;5;2;0;0;291;3;32;1;0;0;0;0
291;2023;110;1;3;0;0;291;3;152;4;0;0;0;0
291;2023;110;2;3;0;0;291;3;152;4;0;0;0;0
291;2023;110;3;3;0;0;291;3;152;4;0;0;0;0
294;2023;110;1;3;0;0;294;3;117;3;0;0;0;0
294;2023;110;2;3;0;0;294;3;117;3;0;0;0;0
294;2023;110;3;3;0;0;294;3;117;3;0;0;0;0
296;2023;110;1;3;0;0;296;3;76;2;0;0;0;0
296;2023;110;2;3;0;0;296;3;76;2;0;0;0;0
297;2023;110;1;3;0;0;297;3;80;2;0;0;0;0
297;2023;110;2;3;0;0;297;3;80;2;0;0;0;0
298;2023;110;1;3;0;0;298;3;70;2;0;0;0;0
298;2023;110;2;3;0;0;298;3;70;2;0;0;0;0
301;2023;110;1;3;0;0;301;3;72;2;0;0;0;0
301;2023;110;2;3;0;0;301;3;72;2;0;0;0;0
302;2023;110;1;3;0;0;302;3;70;2;0;0;0;0
302;2023;110;2;3;0;0;302;3;70;2;0;0;0;0
302;2023;110;3;3;0;0;302;3;70;2;0;0;0;0
304;2023;110;1;3;0;0;304;3;84;2;0;0;0;0
304;2023;110;2;3;0;0;304;3;84;2;0;0;0;0
304;2023;310;1;3;0;0;304;3;126;3;0;0;0;0
312;2023;110;1;3;0;0;312;3;80;2;0;0;0;0
312;2023;110;2;3;0;0;312;3;80;2;0;0;0;0
313;2023;110;1;3;0;0;313;3;144;4;0;0;0;0
313;2023;110;2;3;0;0;313;3;144;4;0;0;0;0
315;2023;110;1;3;0;0;315;3;76;2;0;0;0;0
315;2023;110;2;3;0;0;315;3;76;2;0;0;0;0
315;2023;110;3;3;0;0;315;3;76;2;0;0;0;0
322;2023;110;1;3;0;0;322;3;70;2;0;0;0;0
322;2023;110;3;3;0;0;322;3;76;2;0;0;0;0
324;2023;110;1;3;0;0;324;3;74;2;0;0;0;0
324;2023;110;2;3;0;0;324;3;74;2;0;0;0;0
324;2023;110;3;3;0;0;324;3;72;2;0;0;0;0
326;2023;110;1;3;0;0;326;3;72;2;0;0;0;0
326;2023;110;2;3;0;0;326;3;72;2;0;0;0;0
326;2023;110;3;3;0;0;326;3;72;2;0;0;0;0
396;2023;310;1;3;0;0;396;3;195;5;0;0;0;0
400;2023;310;1;3;0;0;400;3;185;5;0;0;0;0
442;2023;110;6;3;0;0;442;3;84;2;0;0;0;0
484;2023;10;5;3;0;0;484;3;17;1;0;0;0;0
516;2023;310;1;3;0;0;516;3;185;5;0;0;0;0
530;2023;110;1;3;0;0;530;3;80;2;0;0;0;0
530;2023;110;4;3;0;0;530;3;80;2;0;0;0;0
530;2023;110;6;3;0;0;530;3;80;2;0;0;0;0
530;2023;310;1;3;0;0;530;3;120;3;0;0;0;0
701;2023;310;1;3;0;0;701;3;152;4;0;0;0;0
753;2023;110;1;3;0;0;753;3;23;1;0;0;0;0
753;2023;110;3;3;0;0;753;3;23;1;0;0;0;0
768;2023;410;3;3;41005;0;768;1;45;1;0;0;0;0
768;2023;610;3;3;61003;0;768;1;90;2;0;0;0;0
800;2023;10;4;3;0;0;800;3;14;1;0;0;0;0
905;2023;10;4;3;0;0;905;3;12;1;0;0;0;0
1184;2023;310;1;3;0;0;1184;3;37;1;0;0;0;0
1189;2023;110;5;3;0;0;1189;3;27;1;0;0;0;0
1260;2023;10;4;2;0;0;1260;3;20;1;0;0;0;0
1260;2023;10;5;2;0;0;1260;3;10;1;0;0;0;0
1260;2023;310;1;3;0;0;1260;3;42;1;0;0;0;0
1260;2023;310;2;3;0;0;1260;3;42;1;0;0;0;0
1260;2023;310;3;3;0;0;1260;3;42;1;0;0;0;0
1260;2023;310;4;3;0;0;1260;3;42;1;0;0;0;0
1422;2023;310;1;3;0;0;1422;3;120;3;0;0;0;0
1667;2023;110;6;3;0;0;1667;3;40;1;0;0;0;0
1689;2023;110;1;3;0;0;1689;3;74;2;0;0;0;0
