rbd;ano_escolar;cod_ens;cod_gra;tipo_jornada;cod_esp;cod_men;id_sede_anexo;tipo_alumnado
1;2023;310;1;1;0;0;1;3
4;2023;310;1;3;0;0;4;3
8;2023;310;1;3;0;0;8;3
97;2023;310;1;3;0;0;97;3
97;2023;310;2;3;0;0;97;3
97;2023;410;3;3;41002;0;97;3
97;2023;410;3;3;41005;0;97;3
97;2023;410;4;3;41002;0;97;3
97;2023;410;4;3;41005;0;97;3
97;2023;510;3;3;58034;0;97;3
97;2023;510;4;3;58034;0;97;3
97;2023;810;3;3;81004;0;97;3
97;2023;810;4;3;81004;0;97;3
106;2023;310;1;3;0;0;106;3
107;2023;110;7;3;0;0;107;3
107;2023;110;8;3;0;0;107;3
107;2023;310;1;3;0;0;107;3
107;2023;310;2;3;0;0;107;3
107;2023;310;3;3;0;0;107;3
107;2023;310;4;3;0;0;107;3
108;2023;310;1;3;0;0;108;3
108;2023;310;2;3;0;0;108;3
108;2023;510;3;3;52009;0;108;3
108;2023;510;3;3;52010;0;108;3
108;2023;510;3;3;52013;0;108;3
108;2023;510;3;3;53014;0;108;3
108;2023;510;4;3;52009;0;108;3
108;2023;510;4;3;52010;0;108;3
108;2023;510;4;3;52013;0;108;3
108;2023;510;4;3;53014;0;108;3
109;2023;110;1;3;0;0;109;3
109;2023;110;2;3;0;0;109;3
109;2023;110;3;3;0;0;109;3
109;2023;110;4;3;0;0;109;3
109;2023;110;5;3;0;0;109;3
109;2023;110;6;3;0;0;109;3
109;2023;110;7;3;0;0;109;3
109;2023;110;8;3;0;0;109;3
109;2023;310;1;3;0;0;109;3
109;2023;310;2;3;0;0;109;3
109;2023;410;3;3;41005;0;109;3
109;2023;410;4;3;41005;0;109;3
109;2023;610;3;3;63011;0;109;3
109;2023;610;3;3;64001;0;109;3
109;2023;610;3;3;64008;0;109;3
109;2023;610;4;3;63011;0;109;3
109;2023;610;4;3;64001;0;109;3
109;2023;610;4;3;64008;0;109;3
125;2023;110;4;3;0;0;125;3
178;2023;610;3;3;64001;0;178;3
178;2023;610;4;3;64001;0;178;3
239;2023;110;2;3;0;0;239;3
239;2023;110;3;3;0;0;239;3
280;2023;310;1;3;0;0;280;3
288;2023;110;1;2;0;0;288;3
288;2023;110;2;1;0;0;288;3
288;2023;110;3;3;0;0;288;3
289;2023;110;1;3;0;0;289;3
289;2023;110;2;3;0;0;289;3
289;2023;110;3;3;0;0;289;3
291;2023;10;5;1;0;0;291;3
291;2023;10;5;2;0;0;291;3
291;2023;110;1;3;0;0;291;3
291;2023;110;2;3;0;0;291;3
291;2023;110;3;3;0;0;291;3
294;2023;110;1;3;0;0;294;3
294;2023;110;2;3;0;0;294;3
294;2023;110;3;3;0;0;294;3
296;2023;110;1;3;0;0;296;3
296;2023;110;2;3;0;0;296;3
297;2023;110;1;3;0;0;297;3
297;2023;110;2;3;0;0;297;3
298;2023;110;1;3;0;0;298;3
298;2023;110;2;3;0;0;298;3
301;2023;110;1;3;0;0;301;3
301;2023;110;2;3;0;0;301;3
302;2023;110;1;3;0;0;302;3
302;2023;110;2;3;0;0;302;3
302;2023;110;3;3;0;0;302;3
304;2023;110;1;3;0;0;304;3
304;2023;110;2;3;0;0;304;3
304;2023;310;1;3;0;0;304;3
312;2023;110;1;3;0;0;312;3
312;2023;110;2;3;0;0;312;3
313;2023;110;1;3;0;0;313;3
313;2023;110;2;3;0;0;313;3
315;2023;110;1;3;0;0;315;3
315;2023;110;2;3;0;0;315;3
315;2023;110;3;3;0;0;315;3
322;2023;110;1;3;0;0;322;3
322;2023;110;3;3;0;0;322;3
324;2023;110;1;3;0;0;324;3
324;2023;110;2;3;0;0;324;3
324;2023;110;3;3;0;0;324;3
326;2023;110;1;3;0;0;326;3
326;2023;110;2;3;0;0;326;3
326;2023;110;3;3;0;0;326;3
343;2023;10;4;1;0;0;343;3
396;2023;310;1;3;0;0;396;3
400;2023;310;1;3;0;0;400;3
442;2023;110;6;3;0;0;442;3
484;2023;10;5;3;0;0;484;3
516;2023;310;1;3;0;0;516;3
530;2023;110;1;3;0;0;530;3
530;2023;110;4;3;0;0;530;3
530;2023;110;6;3;0;0;530;3
530;2023;310;1;3;0;0;530;3
531;2023;10;4;3;0;0;531;3
531;2023;10;5;3;0;0;531;3
531;2023;110;1;3;0;0;531;3
531;2023;110;2;3;0;0;531;3
531;2023;110;3;3;0;0;531;3
531;2023;110;4;3;0;0;531;3
531;2023;110;5;3;0;0;531;3
531;2023;110;6;3;0;0;531;3
531;2023;110;7;3;0;0;531;3
531;2023;110;8;3;0;0;531;3
531;2023;310;1;3;0;0;531;3
531;2023;310;2;3;0;0;531;3
531;2023;310;3;3;0;0;531;3
531;2023;310;4;3;0;0;531;3
613;2023;10;5;1;0;0;613;3
613;2023;10;5;2;0;0;613;3
613;2023;110;1;2;0;0;613;3
613;2023;110;2;2;0;0;613;3
613;2023;110;3;2;0;0;613;3
613;2023;110;4;2;0;0;613;3
613;2023;110;5;2;0;0;613;3
613;2023;110;6;2;0;0;613;3
613;2023;110;7;1;0;0;613;3
613;2023;110;8;1;0;0;613;3
613;2023;310;1;1;0;0;613;3
613;2023;310;2;1;0;0;613;3
613;2023;310;3;1;0;0;613;3
613;2023;310;4;1;0;0;613;3
701;2023;310;1;3;0;0;701;3
753;2023;110;1;3;0;0;753;3
753;2023;110;3;3;0;0;753;3
768;2023;410;3;3;41005;0;768;1
768;2023;610;3;3;61003;0;768;1
800;2023;10;4;3;0;0;800;3
905;2023;10;4;3;0;0;905;3
1184;2023;310;1;3;0;0;1184;3
1189;2023;110;5;3;0;0;1189;3
1260;2023;10;4;2;0;0;1260;3
1260;2023;10;5;2;0;0;1260;3
1260;2023;310;1;3;0;0;1260;3
1260;2023;310;2;3;0;0;1260;3
1260;2023;310;3;3;0;0;1260;3
1260;2023;310;4;3;0;0;1260;3
1422;2023;310;1;3;0;0;1422;3
1595;2023;10;5;2;0;0;1595;3
1667;2023;110;6;3;0;0;1667;3
1689;2023;110;1;3;0;0;1689;3
1689;2023;110;2;3;0;0;1689;3
1689;2023;110;3;3;0;0;1689;3
1689;2023;110;4;3;0;0;1689;3
1689;2023;110;5;3;0;0;1689;3
1689;2023;110;6;3;0;0;1689;3
1689;2023;110;7;3;0;0;1689;3
1689;2023;110;8;3;0;0;1689;3
1699;2023;110;1;3;0;0;1699;3
1699;2023;110;2;3;0;0;1699;3
1699;2023;110;3;3;0;0;1699;3
1699;2023;110;4;3;0;0;1699;3
1699;2023;110;5;3;0;0;1699;3
1699;2023;110;6;3;0;0;1699;3
1699;2023;110;7;3;0;0;1699;3
1699;2023;110;8;3;0;0;1699;3
1855;2023;110;1;3;0;0;1855;3
1855;2023;110;2;3;0;0;1855;3
1855;2023;110;3;3;0;0;1855;3
1855;2023;110;4;3;0;0;1855;3
1855;2023;110;5;3;0;0;1855;3
1855;2023;110;6;3;0;0;1855;3
1855;2023;110;7;3;0;0;1855;3
1855;2023;110;8;3;0;0;1855;3
1864;2023;310;1;3;0;0;1864;3
1864;2023;310;2;3;0;0;1864;3
1864;2023;310;3;3;0;0;1864;3
1864;2023;310;4;3;0;0;1864;3
1864;2023;410;3;3;41005;0;1864;3
1864;2023;410;4;3;41005;0;1864;3
1864;2023;510;3;3;53014;0;1864;3
1864;2023;510;3;3;58033;0;1864;3
1864;2023;510;4;3;53014;0;1864;3
1864;2023;510;4;3;58033;0;1864;3
1918;2023;110;1;3;0;0;1918;3
1918;2023;110;5;3;0;0;1918;3
1918;2023;110;6;3;0;0;1918;3
1918;2023;310;3;3;0;0;1918;3
1927;2023;10;5;2;0;0;1927;3
1927;2023;110;1;2;0;0;1927;3
1927;2023;110;2;1;0;0;1927;3
1927;2023;110;3;1;0;0;1927;3
1927;2023;110;4;1;0;0;1927;3
1927;2023;110;5;2;0;0;1927;3
1927;2023;110;6;2;0;0;1927;3
1927;2023;110;7;2;0;0;1927;3
1927;2023;110;8;1;0;0;1927;3
1977;2023;10;4;2;0;0;20180806213425498729000000;3
2012;2023;310;1;3;0;0;2012;3
2084;2023;110;1;3;0;0;2084;3
2084;2023;110;3;3;0;0;2084;3
2103;2023;310;1;3;0;0;2103;3
2233;2023;110;1;1;0;0;2233;3
2748;2023;110;8;3;0;0;2748;3
2756;2023;110;6;3;0;0;2756;3
2829;2023;310;1;1;0;0;2829;3
2908;2023;110;4;3;0;0;2908;3
2989;2023;110;1;3;0;0;2989;3
2989;2023;110;2;3;0;0;2989;3
3013;2023;110;8;1;0;0;3013;3
3016;2023;310;1;3;0;0;3016;3
3016;2023;310;2;3;0;0;3016;3
3055;2023;310;4;3;0;0;3055;3
3129;2023;110;1;3;0;0;3129;3
3129;2023;110;2;3;0;0;3129;3
3129;2023;110;3;3;0;0;3129;3
3129;2023;110;4;3;0;0;3129;3
3129;2023;110;5;3;0;0;3129;3
3129;2023;110;6;3;0;0;3129;3
3202;2023;10;4;3;0;0;3202;3
3247;2023;310;1;3;0;0;3247;3
3300;2023;10;5;1;0;0;3300;3
3311;2023;110;7;3;0;0;3311;3
3311;2023;310;1;3;0;0;3311;3
3385;2023;110;1;3;0;0;3385;3
3385;2023;110;2;3;0;0;3385;3
3385;2023;110;3;3;0;0;3385;3
3385;2023;110;4;3;0;0;3385;3
3385;2023;110;5;3;0;0;3385;3
3385;2023;110;6;3;0;0;3385;3
3385;2023;110;7;3;0;0;3385;3
3385;2023;110;8;3;0;0;3385;3
3434;2023;310;1;3;0;0;3434;3
3434;2023;710;4;3;72007;0;3434;3
3531;2023;110;6;3;0;0;3531;3
3531;2023;310;1;3;0;0;3531;3
3531;2023;310;2;3;0;0;3531;3
3531;2023;310;3;3;0;0;3531;3
3531;2023;310;4;3;0;0;3531;3
3532;2023;310;1;3;0;0;3532;3
3608;2023;10;4;3;0;0;3608;3
3608;2023;10;5;3;0;0;3608;3
3608;2023;110;1;3;0;0;3608;3
3608;2023;110;3;3;0;0;3608;3
3608;2023;110;4;3;0;0;3608;3
3608;2023;110;5;3;0;0;3608;3
3608;2023;110;6;3;0;0;3608;3
3608;2023;110;7;3;0;0;3608;3
3608;2023;110;8;3;0;0;3608;3
3608;2023;310;2;3;0;0;3608;3
4048;2023;10;5;3;0;0;4048;3
4116;2023;110;1;3;0;0;4116;3
4116;2023;110;2;3;0;0;4116;3
