rbd;ano_escolar;cod_ens;cod_gra;tipo_jornada;cod_esp;cod_men;id_sede_anexo;tipo_alumnado
7366;2024;110;8;3;0;0;7366;3
10735;2024;310;3;3;0;0;10735;3
268;2024;610;3;3;63009;0;268;3
418;2024;110;5;3;0;0;2,01807E+25;3
2136;2024;10;4;3;0;0;2136;3
3579;2024;110;5;3;0;0;3579;3
4160;2024;410;4;3;41002;0;4160;3
4875;2024;110;2;3;0;0;4875;3
4875;2024;110;3;3;0;0;4875;3
4875;2024;110;6;3;0;0;4875;3
6673;2024;110;2;3;0;0;6673;3
6673;2024;110;3;3;0;0;6673;3
6673;2024;110;4;3;0;0;6673;3
6673;2024;110;5;3;0;0;6673;3
6673;2024;110;6;3;0;0;6673;3
9375;2024;10;4;1;0;0;2,01903E+25;3
9375;2024;10;5;1;0;0;2,01903E+25;3
9887;2024;110;7;3;0;0;9887;3
9887;2024;110;8;3;0;0;9887;3
12244;2024;110;2;2;0;0;2,01906E+25;3
17772;2024;710;3;3;71001;0;17772;3
17772;2024;710;4;3;71001;0;17772;3
17915;2024;510;3;3;58034;0;17915;3
20478;2024;110;7;3;0;0;20478;3
22114;2024;310;3;3;0;0;2,02006E+25;3
22707;2024;310;4;3;0;0;22707;3
25950;2024;110;7;3;0;0;25950;3
25950;2024;110;8;3;0;0;25950;3
